[m[32m2021-11-13 16:22:16.082 INFO  [ConcesionarioApplication][restartedMain] - Starting ConcesionarioApplication using Java 1.8.0_292 on WKSAR1091L.local with PID 82448 (/Users/mercedesosorioodreman/Desktop/concesionario/target/classes started by mercedesosorioodreman in /Users/mercedesosorioodreman/Desktop/concesionario)
[m[32m2021-11-13 16:22:26.101 INFO  [ConcesionarioApplication][restartedMain] - No active profile set, falling back to default profiles: default
[m[32m2021-11-13 16:22:28.333 INFO  [RepositoryConfigurationDelegate][restartedMain] - Multiple Spring Data modules found, entering strict repository configuration mode!
[m[32m2021-11-13 16:22:28.333 INFO  [RepositoryConfigurationDelegate][restartedMain] - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
[m[32m2021-11-13 16:22:28.502 INFO  [RepositoryConfigurationExtensionSupport][restartedMain] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.taller.concesionario.repository.RolRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[m[32m2021-11-13 16:22:28.513 INFO  [RepositoryConfigurationExtensionSupport][restartedMain] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.taller.concesionario.repository.UsuarioRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[m[32m2021-11-13 16:22:28.516 INFO  [RepositoryConfigurationDelegate][restartedMain] - Finished Spring Data repository scanning in 181 ms. Found 0 JDBC repository interfaces.
[m[32m2021-11-13 16:22:28.641 INFO  [RepositoryConfigurationDelegate][restartedMain] - Multiple Spring Data modules found, entering strict repository configuration mode!
[m[32m2021-11-13 16:22:28.641 INFO  [RepositoryConfigurationDelegate][restartedMain] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[m[32m2021-11-13 16:22:28.856 INFO  [RepositoryConfigurationDelegate][restartedMain] - Finished Spring Data repository scanning in 213 ms. Found 2 JPA repository interfaces.
[m[32m2021-11-13 16:22:29.975 INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker][restartedMain] - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@4b77f0e0' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[m[32m2021-11-13 16:22:30.007 INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker][restartedMain] - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[m[32m2021-11-13 16:22:31.867 INFO  [TomcatWebServer][restartedMain] - Tomcat initialized with port(s): 8080 (http)
[m[32m2021-11-13 16:22:31.882 INFO  [Http11NioProtocol][restartedMain] - Initializing ProtocolHandler ["http-nio-8080"]
[m[32m2021-11-13 16:22:31.886 INFO  [StandardService][restartedMain] - Starting service [Tomcat]
[m[32m2021-11-13 16:22:31.891 INFO  [StandardEngine][restartedMain] - Starting Servlet engine: [Apache Tomcat/9.0.53]
[m[32m2021-11-13 16:22:31.955 INFO  [[/]][restartedMain] - Initializing Spring embedded WebApplicationContext
[m[32m2021-11-13 16:22:31.956 INFO  [ServletWebServerApplicationContext][restartedMain] - Root WebApplicationContext: initialization completed in 5846 ms
[m[33m2021-11-13 16:22:32.737 WARN  [JpaBaseConfiguration$JpaWebConfiguration][restartedMain] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[m[32m2021-11-13 16:22:33.371 INFO  [HikariDataSource][restartedMain] - HikariPool-2 - Starting...
[m[32m2021-11-13 16:22:35.673 INFO  [HikariDataSource][restartedMain] - HikariPool-2 - Start completed.
[m[32m2021-11-13 16:22:39.032 INFO  [LocalContainerEntityManagerFactoryBean][restartedMain] - Initialized JPA EntityManagerFactory for persistence unit 'default'
[m[32m2021-11-13 16:22:43.349 INFO  [DefaultSecurityFilterChain][restartedMain] - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@10062a9c, org.springframework.security.web.context.SecurityContextPersistenceFilter@293bf530, org.springframework.security.web.header.HeaderWriterFilter@8c525d5, org.springframework.web.filter.CorsFilter@585b55ad, org.springframework.security.web.authentication.logout.LogoutFilter@74230e6e, com.taller.concesionario.jwt.JwtTokenFilter@6a8d1308, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@512c1f66, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7066731b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@69ca8a51, org.springframework.security.web.session.SessionManagementFilter@ae5fb3, org.springframework.security.web.access.ExceptionTranslationFilter@382808f1, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7ef5924e]
[m[32m2021-11-13 16:22:44.685 INFO  [OptionalLiveReloadServer][restartedMain] - LiveReload server is running on port 35729
[m[32m2021-11-13 16:22:44.734 INFO  [Http11NioProtocol][restartedMain] - Starting ProtocolHandler ["http-nio-8080"]
[m[32m2021-11-13 16:22:44.743 INFO  [TomcatWebServer][restartedMain] - Tomcat started on port(s): 8080 (http) with context path ''
[m[32m2021-11-13 16:22:44.791 INFO  [ConcesionarioApplication][restartedMain] - Started ConcesionarioApplication in 44.577 seconds (JVM running for 443.355)
[m[32m2021-11-13 16:22:44.805 INFO  [ConditionEvaluationDeltaLoggingListener][restartedMain] - Condition evaluation unchanged
[m[32m2021-11-13 16:25:07.171 INFO  [LocalContainerEntityManagerFactoryBean][Thread-8] - Closing JPA EntityManagerFactory for persistence unit 'default'
[m[32m2021-11-13 16:25:07.189 INFO  [HikariDataSource][Thread-8] - HikariPool-2 - Shutdown initiated...
[m[32m2021-11-13 16:25:07.232 INFO  [HikariDataSource][Thread-8] - HikariPool-2 - Shutdown completed.
[m[32m2021-11-13 16:25:54.260 INFO  [ConcesionarioApplication][restartedMain] - Starting ConcesionarioApplication using Java 1.8.0_292 on WKSAR1091L.local with PID 85536 (/Users/mercedesosorioodreman/Desktop/concesionario/target/classes started by mercedesosorioodreman in /Users/mercedesosorioodreman/Desktop/concesionario)
[m[32m2021-11-13 16:26:04.297 INFO  [ConcesionarioApplication][restartedMain] - No active profile set, falling back to default profiles: default
[m[32m2021-11-13 16:26:04.384 INFO  [DevToolsPropertyDefaultsPostProcessor][restartedMain] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[m[32m2021-11-13 16:26:04.385 INFO  [DevToolsPropertyDefaultsPostProcessor][restartedMain] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[m[32m2021-11-13 16:26:06.063 INFO  [RepositoryConfigurationDelegate][restartedMain] - Multiple Spring Data modules found, entering strict repository configuration mode!
[m[32m2021-11-13 16:26:06.067 INFO  [RepositoryConfigurationDelegate][restartedMain] - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
[m[32m2021-11-13 16:26:06.314 INFO  [RepositoryConfigurationExtensionSupport][restartedMain] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.taller.concesionario.repository.RolRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[m[32m2021-11-13 16:26:06.319 INFO  [RepositoryConfigurationExtensionSupport][restartedMain] - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.taller.concesionario.repository.UsuarioRepository. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
[m[32m2021-11-13 16:26:06.321 INFO  [RepositoryConfigurationDelegate][restartedMain] - Finished Spring Data repository scanning in 236 ms. Found 0 JDBC repository interfaces.
[m[32m2021-11-13 16:26:06.376 INFO  [RepositoryConfigurationDelegate][restartedMain] - Multiple Spring Data modules found, entering strict repository configuration mode!
[m[32m2021-11-13 16:26:06.380 INFO  [RepositoryConfigurationDelegate][restartedMain] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[m[32m2021-11-13 16:26:06.592 INFO  [RepositoryConfigurationDelegate][restartedMain] - Finished Spring Data repository scanning in 153 ms. Found 2 JPA repository interfaces.
[m[32m2021-11-13 16:26:07.552 INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker][restartedMain] - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@4a33e191' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[m[32m2021-11-13 16:26:07.561 INFO  [PostProcessorRegistrationDelegate$BeanPostProcessorChecker][restartedMain] - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[m[32m2021-11-13 16:26:08.542 INFO  [TomcatWebServer][restartedMain] - Tomcat initialized with port(s): 8080 (http)
[m[32m2021-11-13 16:26:08.586 INFO  [Http11NioProtocol][restartedMain] - Initializing ProtocolHandler ["http-nio-8080"]
[m[32m2021-11-13 16:26:08.588 INFO  [StandardService][restartedMain] - Starting service [Tomcat]
[m[32m2021-11-13 16:26:08.589 INFO  [StandardEngine][restartedMain] - Starting Servlet engine: [Apache Tomcat/9.0.53]
[m[32m2021-11-13 16:26:08.816 INFO  [[/]][restartedMain] - Initializing Spring embedded WebApplicationContext
[m[32m2021-11-13 16:26:08.816 INFO  [ServletWebServerApplicationContext][restartedMain] - Root WebApplicationContext: initialization completed in 4430 ms
[m[33m2021-11-13 16:26:09.104 WARN  [JpaBaseConfiguration$JpaWebConfiguration][restartedMain] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[m[32m2021-11-13 16:26:10.804 INFO  [HikariDataSource][restartedMain] - HikariPool-1 - Starting...
[m[32m2021-11-13 16:26:14.002 INFO  [HikariDataSource][restartedMain] - HikariPool-1 - Start completed.
[m[32m2021-11-13 16:26:20.616 INFO  [LocalContainerEntityManagerFactoryBean][restartedMain] - Initialized JPA EntityManagerFactory for persistence unit 'default'
[m[32m2021-11-13 16:26:25.670 INFO  [DefaultSecurityFilterChain][restartedMain] - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1d8d9cd, org.springframework.security.web.context.SecurityContextPersistenceFilter@41154bdd, org.springframework.security.web.header.HeaderWriterFilter@507f3aa1, org.springframework.web.filter.CorsFilter@2acbb4f5, org.springframework.security.web.authentication.logout.LogoutFilter@6ef5aa17, com.taller.concesionario.jwt.JwtTokenFilter@4d777c1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2328a71c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3407feb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3ceebb28, org.springframework.security.web.session.SessionManagementFilter@3c4b8449, org.springframework.security.web.access.ExceptionTranslationFilter@2d77577b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3d48238a]
[m[32m2021-11-13 16:26:27.743 INFO  [OptionalLiveReloadServer][restartedMain] - LiveReload server is running on port 35729
[m[32m2021-11-13 16:26:27.957 INFO  [Http11NioProtocol][restartedMain] - Starting ProtocolHandler ["http-nio-8080"]
[m[32m2021-11-13 16:26:28.150 INFO  [TomcatWebServer][restartedMain] - Tomcat started on port(s): 8080 (http) with context path ''
[m[32m2021-11-13 16:26:28.218 INFO  [ConcesionarioApplication][restartedMain] - Started ConcesionarioApplication in 50.004 seconds (JVM running for 57.905)
[m[32m2021-11-13 16:27:44.433 INFO  [[/]][http-nio-8080-exec-1] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[m[32m2021-11-13 16:27:44.435 INFO  [DispatcherServlet][http-nio-8080-exec-1] - Initializing Servlet 'dispatcherServlet'
[m[32m2021-11-13 16:27:44.440 INFO  [DispatcherServlet][http-nio-8080-exec-1] - Completed initialization in 5 ms
[m[33m2021-11-13 16:28:31.295 WARN  [PoolBase][http-nio-8080-exec-3] - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@76e1e54e (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
[m[33m2021-11-13 16:28:31.340 WARN  [PoolBase][http-nio-8080-exec-3] - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@7f2ca5e7 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
[m[33m2021-11-13 16:28:31.405 WARN  [PoolBase][http-nio-8080-exec-3] - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@61ee4d9 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
[m[33m2021-11-13 16:28:31.432 WARN  [PoolBase][http-nio-8080-exec-3] - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@662630ee (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
[m[33m2021-11-13 16:28:31.453 WARN  [PoolBase][http-nio-8080-exec-3] - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4d8022ca (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
[m[33m2021-11-13 16:28:31.533 WARN  [PoolBase][http-nio-8080-exec-3] - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5719b500 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
[m[33m2021-11-13 16:28:31.574 WARN  [PoolBase][http-nio-8080-exec-3] - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@26d0bb16 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
[m[33m2021-11-13 16:28:31.701 WARN  [PoolBase][http-nio-8080-exec-3] - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@71a65e62 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
[m[33m2021-11-13 16:28:31.731 WARN  [PoolBase][http-nio-8080-exec-3] - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3d7ca4ee (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
[m[33m2021-11-13 16:28:31.770 WARN  [PoolBase][http-nio-8080-exec-3] - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@27d7b7f4 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
[m
